entry_time,entry_price,signal_type,tp_price,sl_price,exit_time,exit_price,exit_type,pnl_pct
2023-09-24 17:45:00,26657.1,추세확정 (BB 상단 돌파),27190.242,26390.529,2023-09-24 19:15:00,26390.529,SL,-0.9999999999999997
2023-09-24 18:30:00,26594.4,강력한 반전 (BB 찢고 복귀),26993.316,26328.456000000002,2023-09-24 19:15:00,26328.456000000002,SL,-0.9999999999999981
2023-09-24 19:30:00,26455.2,역추세 반등 (BB 하단),26719.752,26190.648,2023-09-24 23:15:00,26190.648,SL,-0.9999999999999988
2023-09-24 19:30:00,26455.2,강력한 반전 (BB 찢고 복귀),26852.028,26190.648,2023-09-24 23:15:00,26190.648,SL,-0.9999999999999988
2023-09-24 20:15:00,26423.3,강력한 반전 (BB 찢고 복귀),26819.649499999996,26159.067,2023-09-24 23:15:00,26159.067,SL,-1.0000000000000007
2023-09-24 23:30:00,26252.3,역추세 반등 (BB 하단),26514.823,25989.777,2023-09-25 00:15:00,25989.777,SL,-1.000000000000004
2023-09-25 06:15:00,26114.8,역추세 반등 (BB 하단),26375.948,25853.652,2023-09-25 16:15:00,26375.948,TP,1.000000000000004
2023-09-25 06:15:00,26114.8,강력한 반전 (BB 찢고 복귀),26506.521999999997,25853.652,2023-09-26 06:15:00,26281.2,Time Stop,0.6371865761943475
2023-09-25 09:45:00,26050.0,역추세 반등 (BB 하단),26310.5,25789.5,2023-09-25 16:00:00,26310.5,TP,1.0
2023-09-25 10:00:00,26073.7,강력한 반전 (BB 찢고 복귀),26464.8055,25812.963,2023-09-26 10:00:00,26242.7,Time Stop,0.6481627080161235
2023-09-25 11:30:00,26054.2,강력한 반전 (BB 찢고 복귀),26445.013,25793.658,2023-09-26 11:30:00,26236.0,Time Stop,0.6977761742828383
2023-09-25 12:15:00,26077.9,강력한 반전 (BB 찢고 복귀),26469.068499999998,25817.121000000003,2023-09-26 12:15:00,26251.7,Time Stop,0.6664647076643413
2023-09-25 13:15:00,26147.9,추세확정 (BB 상단 돌파),26670.858,25886.421000000002,2023-09-26 13:15:00,26183.1,Time Stop,0.13461884128361012
2023-09-25 13:45:00,26148.4,추세확정 (BB 상단 돌파),26671.368000000002,25886.916,2023-09-26 13:45:00,26171.8,Time Stop,0.08948922304996794
2023-09-25 15:15:00,26240.4,추세확정 (BB 상단 돌파),26765.208000000002,25977.996000000003,2023-09-26 15:15:00,26106.4,Time Stop,-0.5106629472111706
2023-09-25 16:00:00,26349.0,추세확정 (BB 상단 돌파),26875.98,26085.51,2023-09-26 15:45:00,26085.51,SL,-1.000000000000006
2023-09-26 01:45:00,26288.9,역추세 반등 (BB 하단),26551.789,26026.011000000002,2023-09-27 01:45:00,26249.4,Time Stop,-0.1502535290559894
2023-09-26 01:45:00,26288.9,강력한 반전 (BB 찢고 복귀),26683.2335,26026.011000000002,2023-09-27 01:45:00,26249.4,Time Stop,-0.1502535290559894
2023-09-26 02:45:00,26342.0,추세확정 (BB 상단 돌파),26868.84,26078.579999999998,2023-09-26 15:45:00,26078.579999999998,SL,-1.000000000000007
2023-09-26 03:15:00,26361.9,추세확정 (BB 상단 돌파),26889.138000000003,26098.281000000003,2023-09-26 15:45:00,26098.281000000003,SL,-0.9999999999999953
2023-09-26 06:45:00,26279.1,강력한 반전 (BB 찢고 복귀),26673.286499999995,26016.308999999997,2023-09-27 06:45:00,26247.6,Time Stop,-0.11986711873694306
2023-09-26 09:15:00,26237.1,강력한 반전 (BB 찢고 복귀),26630.656499999997,25974.729,2023-09-27 09:15:00,26272.4,Time Stop,0.1345423084106205
2023-09-26 11:15:00,26214.0,역추세 반등 (BB 하단),26476.14,25951.86,2023-09-27 10:30:00,26476.14,TP,0.9999999999999978
2023-09-26 11:15:00,26214.0,강력한 반전 (BB 찢고 복귀),26607.21,25951.86,2023-09-27 11:15:00,26558.9,Time Stop,1.3157091630426545
2023-09-26 13:30:00,26232.9,강력한 반전 (BB 찢고 복귀),26626.3935,25970.571,2023-09-27 11:30:00,26626.3935,TP,1.499999999999988
2023-09-26 14:15:00,26141.3,역추세 반등 (BB 하단),26402.713,25879.887,2023-09-27 10:00:00,26402.713,TP,1.0000000000000018
2023-09-26 14:15:00,26141.3,강력한 반전 (BB 찢고 복귀),26533.419499999996,25879.887,2023-09-27 11:15:00,26533.419499999996,TP,1.499999999999989
2023-09-26 14:30:00,26172.9,강력한 반전 (BB 찢고 복귀),26565.4935,25911.171000000002,2023-09-27 11:15:00,26565.4935,TP,1.4999999999999962
2023-09-26 15:30:00,26130.1,역추세 반등 (BB 하단),26391.400999999998,25868.799,2023-09-27 10:00:00,26391.400999999998,TP,0.9999999999999981
2023-09-26 15:30:00,26130.1,강력한 반전 (BB 찢고 복귀),26522.051499999998,25868.799,2023-09-27 11:15:00,26522.051499999998,TP,1.499999999999997
2023-09-27 09:15:00,26272.4,추세확정 (BB 상단 돌파),26797.848,26009.676,2023-09-27 11:45:00,26797.848,TP,2.000000000000001
2023-09-27 11:15:00,26558.9,추세확정 (BB 상단 돌파),27090.078,26293.311,2023-09-27 14:15:00,26293.311,SL,-0.9999999999999997
2023-09-27 15:00:00,26282.8,역추세 반등 (BB 하단),26545.628,26019.971999999998,2023-09-28 10:30:00,26545.628,TP,1.000000000000005
2023-09-27 23:30:00,26367.2,추세확정 (BB 상단 돌파),26894.544,26103.528000000002,2023-09-28 14:45:00,26894.544,TP,2.0000000000000036
2023-09-28 00:00:00,26406.0,추세확정 (BB 상단 돌파),26934.12,26141.94,2023-09-28 15:30:00,26934.12,TP,1.9999999999999962
2023-09-28 10:30:00,26544.6,추세확정 (BB 상단 돌파),27075.492,26279.154,2023-09-28 16:00:00,27075.492,TP,1.9999999999999993
2023-09-28 14:15:00,26602.7,추세확정 (BB 상단 돌파),27134.754,26336.673,2023-09-28 16:00:00,27134.754,TP,2.0000000000000004
2023-09-28 21:30:00,26978.5,강력한 반전 (BB 찢고 복귀),27383.177499999998,26708.715,2023-09-29 14:00:00,26708.715,SL,-0.9999999999999996
2023-09-29 03:00:00,26900.0,역추세 반등 (BB 하단),27169.0,26631.0,2023-09-29 07:30:00,27169.0,TP,1.0
2023-09-29 03:00:00,26900.0,강력한 반전 (BB 찢고 복귀),27303.499999999996,26631.0,2023-09-30 03:00:00,26904.9,Time Stop,0.018215613382905036
2023-09-29 03:30:00,26919.9,역추세 반등 (BB 하단),27189.099000000002,26650.701,2023-09-29 07:30:00,27189.099000000002,TP,1.000000000000002
2023-09-29 06:45:00,27065.8,추세확정 (BB 상단 돌파),27607.115999999998,26795.142,2023-09-29 14:00:00,26795.142,SL,-0.9999999999999979
2023-09-29 07:30:00,27141.2,추세확정 (BB 상단 돌파),27684.024,26869.788,2023-09-29 14:00:00,26869.788,SL,-1.0000000000000009
2023-09-29 12:15:00,26945.0,강력한 반전 (BB 찢고 복귀),27349.174999999996,26675.55,2023-09-29 14:00:00,26675.55,SL,-1.0000000000000027
2023-09-29 14:30:00,26992.7,역추세 반등 (BB 하단),27262.627,26722.773,2023-09-30 14:30:00,26982.0,Time Stop,-0.03964034720498775
2023-09-29 14:30:00,26992.7,강력한 반전 (BB 찢고 복귀),27397.5905,26722.773,2023-09-30 14:30:00,26982.0,Time Stop,-0.03964034720498775
2023-09-29 18:15:00,26814.8,강력한 반전 (BB 찢고 복귀),27217.021999999997,26546.652,2023-09-30 18:15:00,26999.9,Time Stop,0.6902904366245588
2023-09-30 04:15:00,26927.3,추세확정 (BB 상단 돌파),27465.846,26658.027,2023-10-01 04:15:00,27024.0,Time Stop,0.3591150988030762
2023-09-30 09:00:00,26938.6,추세확정 (BB 상단 돌파),27477.372,26669.214,2023-10-01 09:00:00,27150.0,Time Stop,0.7847475369915343
2023-09-30 10:15:00,26962.0,추세확정 (BB 상단 돌파),27501.24,26692.38,2023-10-01 10:15:00,27208.1,Time Stop,0.9127661152733424
2023-09-30 15:00:00,27009.1,추세확정 (BB 상단 돌파),27549.282,26739.009,2023-10-01 15:00:00,27115.0,Time Stop,0.39209007334565554
2023-09-30 15:30:00,27026.9,추세확정 (BB 상단 돌파),27567.438000000002,26756.631,2023-10-01 15:30:00,27120.5,Time Stop,0.3463216277116449
2023-09-30 20:30:00,27057.3,추세확정 (BB 상단 돌파),27598.446,26786.727,2023-10-01 20:30:00,27084.0,Time Stop,0.09867946912663396
2023-10-01 05:15:00,27060.1,추세확정 (BB 상단 돌파),27601.302,26789.499,2023-10-01 22:15:00,27601.302,TP,2.000000000000004
2023-10-01 06:00:00,27086.9,추세확정 (BB 상단 돌파),27628.638000000003,26816.031000000003,2023-10-01 22:15:00,27628.638000000003,TP,2.000000000000004
2023-10-01 06:30:00,27090.1,추세확정 (BB 상단 돌파),27631.902,26819.198999999997,2023-10-01 22:15:00,27631.902,TP,1.9999999999999991
2023-10-01 09:15:00,27195.5,추세확정 (BB 상단 돌파),27739.41,26923.545,2023-10-01 22:15:00,27739.41,TP,1.9999999999999993
2023-10-01 09:45:00,27209.0,추세확정 (BB 상단 돌파),27753.18,26936.91,2023-10-01 22:15:00,27753.18,TP,2.000000000000001
2023-10-01 14:45:00,27104.1,역추세 반등 (BB 하단),27375.141,26833.058999999997,2023-10-01 22:15:00,27375.141,TP,1.000000000000004
2023-10-01 14:45:00,27104.1,강력한 반전 (BB 찢고 복귀),27510.661499999995,26833.058999999997,2023-10-01 22:15:00,27510.661499999995,TP,1.4999999999999858
2023-10-01 15:00:00,27115.0,강력한 반전 (BB 찢고 복귀),27521.725,26843.85,2023-10-01 22:15:00,27521.725,TP,1.4999999999999947
2023-10-01 20:00:00,27122.1,강력한 반전 (BB 찢고 복귀),27528.931499999995,26850.878999999997,2023-10-01 22:15:00,27528.931499999995,TP,1.4999999999999876
2023-10-01 21:30:00,27143.9,추세확정 (BB 상단 돌파),27686.778000000002,26872.461000000003,2023-10-01 22:15:00,27686.778000000002,TP,2.000000000000002
2023-10-02 03:30:00,28085.8,추세확정 (BB 상단 돌파),28647.516,27804.942,2023-10-02 18:30:00,27804.942,SL,-1.0000000000000007
2023-10-02 07:15:00,28178.6,추세확정 (BB 상단 돌파),28742.172,27896.814,2023-10-02 16:00:00,27896.814,SL,-1.0000000000000002
2023-10-02 13:30:00,28409.9,추세확정 (BB 상단 돌파),28978.098,28125.801,2023-10-02 15:45:00,28125.801,SL,-1.0000000000000069
