datetime,L_value,L_num
2020-10-23 16:30:00,12743.0,664
2020-10-24 00:15:00,12881.0,665
2020-10-24 09:00:00,12918.5,666
2020-10-24 14:15:00,12941.0,667
2020-10-24 21:45:00,13039.5,668
2020-10-25 05:45:00,12845.0,669
2020-10-25 11:00:00,12905.0,670
2020-10-25 16:00:00,12932.0,671
2020-10-26 00:15:00,12984.0,672
2020-10-26 04:15:00,13048.5,673
2020-10-26 08:15:00,12840.0,674
2020-10-26 17:45:00,12769.0,675
2020-10-27 02:45:00,13053.0,676
2020-10-27 06:30:00,13065.5,677
2020-10-27 23:30:00,13563.5,678
2020-10-28 07:15:00,13564.0,679
2020-10-28 14:15:00,12892.0,680
2020-10-28 17:15:00,13007.5,681
2020-10-28 21:15:00,13098.0,682
2020-10-29 01:15:00,13150.0,683
2020-10-29 12:30:00,12975.0,684
2020-10-30 00:00:00,13330.0,685
2020-10-30 07:15:00,13114.0,686
2020-10-30 13:30:00,13219.5,687
2020-10-30 21:00:00,13465.5,688
2020-10-31 00:15:00,13510.0,689
2020-10-31 03:15:00,13413.5,690
2020-10-31 19:00:00,13683.5,691
2020-11-01 00:30:00,13653.5,692
2020-11-01 04:15:00,13611.0,693
2020-11-01 11:45:00,13648.5,694
2020-11-01 23:00:00,13645.0,695
2020-11-02 05:15:00,13640.5,696
